date,hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL
17/01/2016,5,11017,916,3293,1024,0,2
17/01/2016,6,11021,915,3313,1034,0,2
17/01/2016,7,11027,916,3474,1319,0,2
17/01/2016,8,11030,915,3791,1548,0,2
17/01/2016,9,11026,919,4115,1526,0,2
17/01/2016,10,11026,1010,4432,1611,12,2
17/01/2016,11,11036,1173,4705,1494,20,2
17/01/2016,12,11047,1453,4648,1446,17,2
17/01/2016,13,11043,1589,4939,1423,15,2
17/01/2016,14,11015,1567,4733,1678,9,2
17/01/2016,15,11037,1749,4397,2041,5,2
17/01/2016,16,11048,1989,4437,2084,5,2
17/01/2016,17,11085,2152,4448,2265,1,2
17/01/2016,18,11085,2113,5050,2522,0,2
17/01/2016,19,11084,2074,5488,2475,0,2
17/01/2016,20,11087,2078,4995,2658,0,2
17/01/2016,21,11083,1503,4820,2715,0,2
17/01/2016,22,11074,993,4970,2686,0,1
17/01/2016,23,11076,922,4315,2619,0,1
17/01/2016,24,11079,923,3546,2595,0,1
18/01/2016,1,11062,923,3360,2163,0,8
18/01/2016,2,11076,919,3438,1888,0,22
18/01/2016,3,11080,925,3358,2153,0,23
18/01/2016,4,11084,930,3282,2168,0,23
18/01/2016,5,11084,928,3261,2318,0,21
18/01/2016,6,11080,955,3538,2554,0,26
18/01/2016,7,11084,1116,4162,2499,0,43
18/01/2016,8,11085,1188,5057,2590,0,72
18/01/2016,9,11079,1343,5406,2633,3,121
18/01/2016,10,11083,1372,5442,2742,17,97
18/01/2016,11,11083,1389,4933,2747,49,92
18/01/2016,12,11070,1521,4980,2740,93,96
18/01/2016,13,11069,1754,4830,2717,101,170
18/01/2016,14,11074,1902,4698,2694,102,152
18/01/2016,15,11069,2175,4601,2627,85,88
18/01/2016,16,11075,2427,4623,2510,46,86
18/01/2016,17,11075,2694,4853,2210,11,86
18/01/2016,18,11077,2699,5433,2443,0,86
18/01/2016,19,11098,2607,5566,2483,0,84
18/01/2016,20,11094,2600,5540,2418,0,106
18/01/2016,21,11081,2267,5354,2340,0,191
18/01/2016,22,11093,1602,5489,2192,0,210
18/01/2016,23,11116,1044,4396,2167,0,212
18/01/2016,24,11121,913,4118,2047,0,186
19/01/2016,1,11123,912,3613,2034,0,96
19/01/2016,2,11145,956,3868,1933,0,34
19/01/2016,3,11145,973,3761,1935,0,22
19/01/2016,4,11149,1006,3669,1803,0,22
19/01/2016,5,11134,1098,3577,1562,0,20
19/01/2016,6,11138,1257,3994,1630,0,28
19/01/2016,7,11142,1376,5036,1636,0,35
19/01/2016,8,11142,1548,5556,1853,0,37
