date,hour,OntDemand
14/01/2016,22,18737
14/01/2016,23,17535
14/01/2016,24,16055
15/01/2016,1,15398
15/01/2016,2,14906
15/01/2016,3,14482
15/01/2016,4,14451
15/01/2016,5,14577
15/01/2016,6,15200
15/01/2016,7,16455
15/01/2016,8,17923
15/01/2016,9,18224
15/01/2016,10,18144
15/01/2016,11,18119
15/01/2016,12,18166
15/01/2016,13,17957
15/01/2016,14,17911
15/01/2016,15,17900
15/01/2016,16,17937
15/01/2016,17,18375
15/01/2016,18,19131
15/01/2016,19,19037
15/01/2016,20,18732
15/01/2016,21,18308
15/01/2016,22,17617
15/01/2016,23,16495
15/01/2016,24,15435
16/01/2016,1,14684
16/01/2016,2,14136
16/01/2016,3,13673
16/01/2016,4,13540
16/01/2016,5,13430
16/01/2016,6,13556
16/01/2016,7,14091
16/01/2016,8,14974
16/01/2016,9,15759
16/01/2016,10,16582
16/01/2016,11,16953
16/01/2016,12,17060
16/01/2016,13,16811
16/01/2016,14,16434
16/01/2016,15,16345
16/01/2016,16,16538
16/01/2016,17,17518
16/01/2016,18,18404
16/01/2016,19,18368
16/01/2016,20,17991
16/01/2016,21,17534
16/01/2016,22,16989
16/01/2016,23,16190
16/01/2016,24,15255
17/01/2016,1,14513
17/01/2016,2,14018
17/01/2016,3,13798
17/01/2016,4,13631
17/01/2016,5,13654
17/01/2016,6,13783
17/01/2016,7,14291
17/01/2016,8,14939
17/01/2016,9,15580
17/01/2016,10,16154
17/01/2016,11,16538
17/01/2016,12,16719
17/01/2016,13,16851
17/01/2016,14,16699
17/01/2016,15,16727
17/01/2016,16,16952
17/01/2016,17,17870
17/01/2016,18,18815
17/01/2016,19,19066
17/01/2016,20,18542
17/01/2016,21,18212
17/01/2016,22,17695
17/01/2016,23,16616
17/01/2016,24,15664
18/01/2016,1,15086
18/01/2016,2,14699
18/01/2016,3,14711
18/01/2016,4,14709
18/01/2016,5,14915
18/01/2016,6,15630
18/01/2016,7,17102
18/01/2016,8,18662
18/01/2016,9,18791
18/01/2016,10,18732
18/01/2016,11,18576
18/01/2016,12,18470
18/01/2016,13,18392
18/01/2016,14,18248
18/01/2016,15,18265
18/01/2016,16,18590
18/01/2016,17,19307
18/01/2016,18,20389
18/01/2016,19,20649
18/01/2016,20,20396
18/01/2016,21,20103
18/01/2016,22,19375
18/01/2016,23,18235
18/01/2016,24,16888
19/01/2016,1,16145
19/01/2016,2,15897
19/01/2016,3,15702
19/01/2016,4,15682
19/01/2016,5,15831
19/01/2016,6,16537
19/01/2016,7,17944
19/01/2016,8,19364
19/01/2016,9,19304
19/01/2016,10,19201
19/01/2016,11,18978
19/01/2016,12,18858
19/01/2016,13,18796
19/01/2016,14,18605
19/01/2016,15,18485
19/01/2016,16,18666
19/01/2016,17,19457
19/01/2016,18,20586
19/01/2016,19,20660
19/01/2016,20,20413
19/01/2016,21,20084
19/01/2016,22,19254
19/01/2016,23,18067
19/01/2016,24,16741
20/01/2016,1,16075
20/01/2016,2,15731
20/01/2016,3,15560
20/01/2016,4,15389
20/01/2016,5,15485
20/01/2016,6,16034
20/01/2016,7,17406
20/01/2016,8,19007
20/01/2016,9,19142
20/01/2016,10,18799
20/01/2016,11,18698
20/01/2016,12,18509
20/01/2016,13,18307
20/01/2016,14,18179
20/01/2016,15,18193
20/01/2016,16,18446
20/01/2016,17,19358
20/01/2016,18,20002
20/01/2016,19,20244
20/01/2016,20,19965
20/01/2016,21,19673
20/01/2016,22,18966
20/01/2016,23,17726
20/01/2016,24,16472
21/01/2016,1,15709
21/01/2016,2,15185
21/01/2016,3,14981
21/01/2016,4,15040
